Latitude,Longitude,RSRP,RSRQ,SNR,Elevation
12.894817,77.564498,-89,-9.0,0.0,909.0
12.894857,77.56906,-99,-13.0,0.0,908.0
12.89487,77.562627,-89,-9.0,0.0,909.0
12.89487,77.5645,-89,-9.0,0.0,909.0
12.894888,77.562623,-99,-13.0,0.0,909.0
12.894912,77.56912,-99,-13.0,0.0,908.0
12.894918,77.562632,-89,-9.0,0.0,909.0
12.894923,77.5645,-89,-9.0,0.0,909.0
12.894963,77.562618,-99,-13.0,0.0,909.0
12.894968,77.562647,-89,-9.0,0.0,909.0
12.894973,77.56918,-99,-13.0,0.0,908.0
12.894975,77.564512,-89,-9.0,0.0,909.0
12.895012,77.562655,-89,-9.0,0.0,909.0
12.895027,77.564532,-89,-9.0,0.0,909.0
12.895043,77.569245,-99,-13.0,0.0,908.0
12.895045,77.562612,-99,-13.0,0.0,909.0
12.895058,77.56266,-89,-9.0,0.0,909.0
12.895058,77.56942,-74,-10.0,0.0,908.0
12.895075,77.564538,-89,-9.0,0.0,909.0
12.895085,77.559185,-89,-8.0,0.0,885.0
12.895105,77.562658,-89,-9.0,0.0,909.0
12.89511,77.569482,-74,-10.0,0.0,908.0
12.89512,77.562605,-99,-13.0,0.0,909.0
12.895122,77.569315,-99,-13.0,0.0,908.0
12.895125,77.56454,-89,-9.0,0.0,909.0
12.89515,77.5592,-88,-8.0,0.0,885.0
12.895157,77.562647,-89,-9.0,0.0,909.0
12.895175,77.559208,-88,-8.0,0.0,885.0
12.895177,77.56455,-89,-9.0,0.0,909.0
12.895183,77.562648,-89,-9.0,0.0,909.0
12.895188,77.559212,-87,-8.0,0.0,885.0
12.895195,77.5626,-99,-13.0,0.0,909.0
12.895197,77.569383,-99,-13.0,0.0,908.0
12.8952,77.559212,-87,-8.0,0.0,885.0
12.895212,77.559235,-92,-10.0,0.0,885.0
12.895222,77.562647,-89,-9.0,0.0,909.0
12.89523,77.564557,-89,-9.0,0.0,909.0
12.895263,77.56265,-89,-9.0,0.0,909.0
12.895263,77.569447,-99,-13.0,0.0,908.0
12.895272,77.562593,-99,-13.0,0.0,909.0
12.895283,77.564582,-89,-9.0,0.0,909.0
12.895317,77.559238,-86,-8.0,0.0,885.0
12.89532,77.562655,-89,-9.0,0.0,909.0
12.895328,77.569508,-99,-13.0,0.0,908.0
12.895345,77.564585,-89,-9.0,0.0,911.0
12.89535,77.559262,-86,-8.0,0.0,885.0
12.89535,77.56259,-99,-13.0,0.0,909.0
12.895373,77.562655,-89,-9.0,0.0,909.0
12.895387,77.559288,-83,-8.0,0.0,885.0
12.89539,77.559332,-87,-9.0,0.0,885.0
12.895393,77.559295,-91,-9.0,0.0,885.0
12.895395,77.559313,-91,-9.0,0.0,885.0
12.895397,77.559352,-87,-9.0,0.0,885.0
12.895398,77.55919,-82,-7.5,0.0,885.0
12.895398,77.569572,-99,-13.0,0.0,908.0
12.8954,77.559363,-87,-8.0,0.0,885.0
12.895403,77.564597,-89,-9.0,0.0,911.0
12.895407,77.559225,-82,-7.0,0.0,885.0
12.89541,77.559212,-82,-7.0,0.0,885.0
12.895418,77.559292,-85,-8.0,0.0,885.0
12.895422,77.559317,-86,-8.0,0.0,885.0
12.895422,77.559332,-83,-8.0,0.0,885.0
12.895427,77.562588,-99,-13.0,0.0,909.0
12.89543,77.559342,-83,-8.0,0.0,885.0
12.895432,77.562652,-89,-9.0,0.0,909.0
12.895437,77.559388,-89,-9.0,0.0,885.0
12.895447,77.559392,-114,-8.82,3.41,885.0
12.895448,77.559138,-116,-7.0,4.0,885.0
12.89546,77.559493,-89,-9.0,0.0,885.0
12.895462,77.559505,-89,-9.0,0.0,885.0
12.895463,77.564603,-89,-9.0,0.0,911.0
12.895465,77.559123,-88,-7.0,0.0,885.0
12.895472,77.569628,-99,-13.0,0.0,908.0
12.895475,77.55953,-89,-9.0,0.0,885.0
12.895482,77.559425,-73,-9.0,0.0,885.0
12.895488,77.56264,-89,-9.0,0.0,909.0
12.89549,77.559535,-89,-9.0,0.0,885.0
12.895493,77.559105,-110,-7.0,0.75,885.0
12.895493,77.559435,-73,-9.0,0.0,885.0
12.895497,77.559445,-73,-9.0,0.0,885.0
12.895497,77.562583,-99,-13.0,0.0,909.0
12.895498,77.559095,-80,-7.0,0.0,885.0
12.8955,77.559455,-73,-9.0,0.0,885.0
12.895503,77.55947,-73,-9.0,0.0,885.0
12.895505,77.558973,-88,-8.0,0.0,885.0
12.89551,77.559488,-73,-9.0,0.0,885.0
12.89551,77.559543,-89,-9.0,0.0,885.0
12.895512,77.559085,-80,-7.0,0.0,885.0
12.895513,77.558983,-89,-8.0,0.0,885.0
