,Latitude,Longitude,Elevation,RSRP,RSRQ,SNR
9431,12.902968,77.504228,760,-117,-20,0
9432,12.902955,77.504233,760,-117,-20,0
9433,12.902945,77.50424,760,-117,-20,0
9434,12.902937,77.504247,760,-117,-20,0
9435,12.902937,77.504247,760,-117,-20,0
9436,12.90293,77.504255,760,-117,-20,0
9437,12.902925,77.504267,760,-117,-20,0
9438,12.902925,77.504267,760,-117,-20,0
9439,12.902913,77.504273,760,-117,-20,0
9440,12.902913,77.504273,760,-117,-20,0
9441,12.902903,77.504285,760,-117,-20,0
9442,12.902903,77.504285,760,-117,-20,0
9443,12.902893,77.504298,759,-117,-20,0
9444,12.902883,77.504302,759,-117,-20,0
9445,12.902883,77.504302,759,-117,-20,0
9446,12.902873,77.504305,759,-117,-20,0
9447,12.902865,77.504312,759,-117,-20,0
9448,12.902865,77.504312,759,-117,-20,0
9449,12.902853,77.504308,758,-117,-20,0
9450,12.902853,77.504308,758,-117,-20,0
9451,12.90284,77.504303,757,-117,-20,0
9452,12.90284,77.504303,757,-117,-20,0
9453,12.902832,77.504295,756,-117,-20,0
9454,12.902827,77.504282,756,-117,-20,0
9455,12.902827,77.504282,756,-117,-20,0
9456,12.902812,77.50427,754,-117,-20,0
9457,12.902802,77.504258,754,-117,-20,0
